InputSize,Algorithm,Type,ThreadCount,TimeGenData,TimeSort,TimeVerify,TimeTotal,IsSorted
1000,merge,sta,24,0.0162,0.4596,0.0033,0.4791,1
10000,merge,sta,24,0.1575,2.9504,0.0136,3.1215,1
100000,merge,sta,24,1.5348,30.0216,0.0406,31.597,1
1000000,merge,sta,24,14.1673,327.782,0.4441,342.393,1
10000000,merge,sta,24,139.248,3504.1,4.5208,3647.87,1
100000000,merge,sta,24,1402.62,36692.5,43.3602,38138.5,1
1000000000,merge,sta,24,14288.3,394843,448.086,409579,1
1000,merge,mta,24,0.0188,2.9813,0.0074,3.0075,1
10000,merge,mta,24,0.1547,3.1517,0.0137,3.3201,1
100000,merge,mta,24,1.5155,4.8178,0.0125,6.3458,1
1000000,merge,mta,24,14.5263,34.7296,0.0165,49.2724,1
10000000,merge,mta,24,142.459,279.856,0.0184,422.333,1
100000000,merge,mta,24,1406.93,2889.77,0.0211,4296.71,1
1000000000,merge,mta,24,14096.9,31353.1,0.0222,45450.1,1
1000,quick,sta,24,0.0189,0.0577,0.0033,0.0799,1
10000,quick,sta,24,0.1607,0.451,0.0058,0.6175,1
100000,quick,sta,24,1.5237,5.1532,0.0273,6.7042,1
1000000,quick,sta,24,14.5246,61.1501,0.4676,76.1423,1
10000000,quick,sta,24,142.777,727.745,4.9299,875.452,1
100000000,quick,sta,24,1413.89,7798.42,44.9236,9257.23,1
1000000000,quick,sta,24,14129.6,89134.3,497.166,103761,1
1000,quick,mta,24,0.0183,0.0554,0.0031,0.0768,1
10000,quick,mta,24,0.1608,0.461,0.011,0.6328,1
100000,quick,mta,24,1.5112,14.9489,0.0413,16.5014,1
1000000,quick,mta,24,14.3735,190.263,0.5288,205.165,1
10000000,quick,mta,24,145.3,2198.8,4.6429,2348.74,1
100000000,quick,mta,24,1418.29,23977.5,44.8055,25440.6,1
1000000000,quick,mta,24,14216.9,272538,499.483,287254,1
